tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
2361,132,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,rest->seek tool,give space,True,True
2362,132,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,negotiate debt->seek tool,finish owed work,True,True
2363,132,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,rest before retry,True,True
2364,132,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,care duty->private task,apologize and wait,True,True
2365,132,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,private task->recover focus,return object,True,True
2366,132,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,offer help,True,True
2367,132,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,give space,True,True
2368,132,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,rest->negotiate debt,finish owed work,True,True
2369,132,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,negotiate debt->care duty,rest before retry,True,True
2370,132,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,seek tool->care duty,apologize and wait,True,True
2371,132,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,care duty->private task,return object,True,True
2372,132,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,private task->recover focus,offer help,True,True
2373,132,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,give space,True,True
2374,132,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,finish owed work,True,True
2375,132,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,rest->seek tool,rest before retry,True,True
2376,133,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,seek tool->private task,return object,True,False
2377,133,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,care duty->private task,offer help,True,True
2378,133,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,give space,True,True
2379,133,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,recover focus->work,finish owed work,True,True
2380,133,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,work->rest,rest before retry,True,True
2381,133,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,rest->negotiate debt,apologize and wait,True,True
2382,133,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,negotiate debt->care duty,return object,True,True
2383,133,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,seek tool->care duty,offer help,True,True
2384,133,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,care duty->recover focus,give space,True,True
2385,133,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,private task->recover focus,finish owed work,True,True
2386,133,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,recover focus->work,rest before retry,True,True
2387,133,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,work->rest,apologize and wait,True,True
2388,133,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,rest->negotiate debt,return object,True,True
2389,133,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,negotiate debt->seek tool,offer help,True,True
2390,133,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,seek tool->private task,give space,True,True
2391,133,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,finish owed work,True,True
2392,133,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,private task->work,rest before retry,True,True
2393,133,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,recover focus->work,apologize and wait,True,True
2394,134,move,position changes but history remains intact,scheduler and debt panel update after reload,Sera,water,0.004,rest->negotiate debt,offer help,True,True
2395,134,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,negotiate debt->seek tool,give space,True,True
2396,134,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,seek tool->care duty,finish owed work,True,True
2397,134,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,care duty->recover focus,rest before retry,True,True
2398,134,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,apologize and wait,True,True
2399,134,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,recover focus->rest,return object,True,True
2400,134,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,work->rest,offer help,True,True
2401,134,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,rest->negotiate debt,give space,True,True
2402,134,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,negotiate debt->seek tool,finish owed work,True,True
2403,134,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,rest before retry,True,True
2404,134,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,care duty->private task,apologize and wait,True,True
2405,134,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,private task->work,return object,True,True
2406,134,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,recover focus->work,offer help,True,True
2407,134,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,give space,True,True
2408,134,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,rest->negotiate debt,finish owed work,True,True
2409,134,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,rest before retry,True,True
2410,134,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,seek tool->care duty,apologize and wait,True,True
2411,134,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,care duty->private task,return object,True,True
2412,135,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,give space,True,True
2413,135,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.016,work->rest,finish owed work,True,True
